"outcome","estimand","untrimmed","trimmed","abs_diff","pct_diff","avg_trim_threshold","avg_n_trimmed","avg_max_wt_before","avg_max_wt_after"
"mci_h","aipsw",0.33169383588247,0.340850816870093,0.00915698098762285,2.76067264357227,NA,6,18.9620276187825,7.68885992313469
"mci_h","iosw",0.315692112931534,0.319783163121523,0.0040910501899884,1.29589876414671,NA,6,18.9620276187825,7.68885992313469
"mci_h","gcomp",0.34065441127244,0.34065441127244,0,0,NA,6,18.9620276187825,7.68885992313469
"mci_h","aipsw_white_nh",0.259363878425141,0.259722739292039,0.000358860866898403,0.138361929609246,NA,6,18.9620276187825,7.68885992313469
"mci_h","aipsw_hispanic",0.27828801898796,0.338899329052822,0.060611310064862,21.7800645120422,NA,6,18.9620276187825,7.68885992313469
"mci_h","aipsw_asian_nh",0.394448568459948,0.394161839004609,0.000286729455339585,0.0726912145882713,NA,6,18.9620276187825,7.68885992313469
"mci_h","aipsw_nh_other",0.645760204981998,0.633126659938275,0.0126335450437229,1.95638333645461,NA,6,18.9620276187825,7.68885992313469
"ad_h","aipsw",0.345662771630699,0.345689835017262,0.0000270633865626646,0.0078294189550672,NA,6,18.9620276187825,7.68885992313469
"ad_h","iosw",0.349935904817645,0.337910474329599,0.0120254304880467,3.43646659930858,NA,6,18.9620276187825,7.68885992313469
"ad_h","gcomp",0.359042829518937,0.359042829518937,0,0,NA,6,18.9620276187825,7.68885992313469
"ad_h","aipsw_white_nh",0.337395423281489,0.337755421749312,0.000359998467823253,0.106699274199373,NA,6,18.9620276187825,7.68885992313469
"ad_h","aipsw_hispanic",0.440325132140458,0.434866495142225,0.00545863699823318,1.23968327033669,NA,6,18.9620276187825,7.68885992313469
"ad_h","aipsw_asian_nh",0.268732974966809,0.267811134231156,0.000921840735653545,0.343032237025396,NA,6,18.9620276187825,7.68885992313469
"ad_h","aipsw_nh_other",0.397160151491483,0.411811004908379,0.0146508534168966,3.68890316963505,NA,6,18.9620276187825,7.68885992313469
"adrd_h","aipsw",0.536251543407499,0.53378882059382,0.00246272281367887,0.459247687760489,NA,6,18.9620276187825,7.68885992313469
"adrd_h","iosw",0.526852785423525,0.515026904672705,0.0118258807508194,2.24462716683045,NA,6,18.9620276187825,7.68885992313469
"adrd_h","gcomp",0.546153719452795,0.546153719452795,0,0,NA,6,18.9620276187825,7.68885992313469
"adrd_h","aipsw_white_nh",0.521504537293414,0.522370032779972,0.000865495486557899,0.165961257221228,NA,6,18.9620276187825,7.68885992313469
"adrd_h","aipsw_hispanic",0.5853367314218,0.580184569866046,0.00515216155575382,0.880204723055577,NA,6,18.9620276187825,7.68885992313469
"adrd_h","aipsw_asian_nh",0.462395854335112,0.460100751472442,0.00229510286267015,0.496350224845836,NA,6,18.9620276187825,7.68885992313469
"adrd_h","aipsw_nh_other",0.635923372698023,0.649495554568237,0.0135721818702139,2.13424800108092,NA,6,18.9620276187825,7.68885992313469
"moca_h","aipsw",21.5733848472682,21.5909100638327,0.0175252165644189,0.081235358700042,NA,6,18.9620276187825,7.68885992313469
"moca_h","iosw",21.5056110049842,21.908082531871,0.402471526886778,1.87147217902109,NA,6,18.9620276187825,7.68885992313469
"moca_h","gcomp",21.4275370194043,21.4275370194043,0,0,NA,6,18.9620276187825,7.68885992313469
"moca_h","aipsw_white_nh",22.5208347505174,22.5172639230579,0.00357082745940929,0.0158556620967491,NA,6,18.9620276187825,7.68885992313469
"moca_h","aipsw_hispanic",16.1584460587003,16.1333315360716,0.0251145226286944,0.155426595710123,NA,6,18.9620276187825,7.68885992313469
"moca_h","aipsw_asian_nh",24.4011728431474,24.3956138397734,0.0055590033740387,0.0227817056572337,NA,6,18.9620276187825,7.68885992313469
"moca_h","aipsw_nh_other",16.7673426840321,16.7185249405477,0.0488177434844026,0.291147765059354,NA,6,18.9620276187825,7.68885992313469
"cdrsb_h","aipsw",2.43282233424517,2.32164424349574,0.11117809074943,4.56992231551202,NA,6,18.9620276187825,7.68885992313469
"cdrsb_h","iosw",2.45390300238758,2.20783509251448,0.246067909873094,10.0276135459991,NA,6,18.9620276187825,7.68885992313469
"cdrsb_h","gcomp",2.4634499720236,2.4634499720236,0,0,NA,6,18.9620276187825,7.68885992313469
"cdrsb_h","aipsw_white_nh",2.59820086637966,2.60718316013351,0.00898229375385329,0.345712060606355,NA,6,18.9620276187825,7.68885992313469
"cdrsb_h","aipsw_hispanic",3.26749976307176,2.67442751552252,0.593072247549238,18.1506439342996,NA,6,18.9620276187825,7.68885992313469
"cdrsb_h","aipsw_asian_nh",1.07263069404917,1.07393784766179,0.00130715361262812,0.121864274431084,NA,6,18.9620276187825,7.68885992313469
"cdrsb_h","aipsw_nh_other",3.20365603216047,3.23926154591918,0.0356055137587066,1.11140251641482,NA,6,18.9620276187825,7.68885992313469
